ACGME-Accredited Specialties,Description of Experience,Number,Average,Standard Deviation,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Occupational and Environmental Medicine,Number of research experiences,47,2.0,2.2,0.0,0.0,1.0,3.0,5.0
Occupational and Environmental Medicine,"Number of abstracts, presentations, and publications",47,5.3,6.4,0.0,1.0,3.0,7.0,12.0
Occupational and Environmental Medicine,Number of work experiences,47,5.8,4.0,1.0,3.0,5.0,7.5,11.0
Occupational and Environmental Medicine,Number of volunteer experiences,47,4.1,5.0,0.0,0.0,2.0,5.5,9.2
Orthopaedic Surgery,Number of research experiences,859,5.4,4.6,2.0,3.0,5.0,7.0,9.0
Orthopaedic Surgery,"Number of abstracts, presentations, and publications",859,17.8,21.2,3.0,6.0,12.0,21.0,38.2
Orthopaedic Surgery,Number of work experiences,859,4.0,2.5,1.0,2.0,4.0,5.0,7.0
Orthopaedic Surgery,Number of volunteer experiences,859,8.9,4.9,4.0,6.0,8.0,11.0,15.0
Osteopathic Neuromusculoskeletal Medicine,Number of research experiences,44,1.5,1.7,0.0,0.0,1.0,2.0,3.7
Osteopathic Neuromusculoskeletal Medicine,"Number of abstracts, presentations, and publications",44,3.0,4.8,0.0,0.0,1.0,3.3,10.0
Osteopathic Neuromusculoskeletal Medicine,Number of work experiences,44,5.2,5.2,1.0,2.0,4.0,6.3,8.7
Osteopathic Neuromusculoskeletal Medicine,Number of volunteer experiences,44,7.4,4.8,1.3,4.0,7.0,10.0,13.7
Otolaryngology,Number of research experiences,356,7.1,3.8,3.0,5.0,6.0,9.0,12.0
Otolaryngology,"Number of abstracts, presentations, and publications",356,18.6,14.9,6.0,9.0,14.0,22.0,35.0
Otolaryngology,Number of work experiences,356,4.0,2.4,1.5,3.0,4.0,5.0,7.0
Otolaryngology,Number of volunteer experiences,356,9.5,4.3,4.0,7.0,9.0,12.0,15.0
Pathology: Anatomic and Clinical,Number of research experiences,557,2.7,2.3,0.0,1.0,2.0,4.0,5.0
Pathology: Anatomic and Clinical,"Number of abstracts, presentations, and publications",557,8.8,11.0,0.0,2.0,5.0,11.0,22.0
Pathology: Anatomic and Clinical,Number of work experiences,557,5.0,3.6,1.0,2.0,4.0,7.0,10.0
Pathology: Anatomic and Clinical,Number of volunteer experiences,557,5.2,3.9,1.0,2.0,5.0,7.0,10.0
Pediatrics1,Number of research experiences,"3,050",2.8,2.1,0.0,1.0,2.0,4.0,5.0
Pediatrics1,"Number of abstracts, presentations, and publications","3,050",5.5,7.4,0.0,1.0,3.0,7.0,13.0
Pediatrics1,Number of work experiences,"3,050",4.1,3.0,1.0,2.0,4.0,5.0,8.0
Pediatrics1,Number of volunteer experiences,"3,050",8.5,4.6,3.0,5.0,8.0,11.0,14.0
Physical Medicine and Rehabilitation,Number of research experiences,475,3.2,3.2,1.0,2.0,3.0,4.0,6.0
Physical Medicine and Rehabilitation,"Number of abstracts, presentations, and publications",475,6.2,8.2,0.0,2.0,5.0,8.0,12.0
Physical Medicine and Rehabilitation,Number of work experiences,475,3.9,2.9,1.0,2.0,3.0,5.0,7.0
Physical Medicine and Rehabilitation,Number of volunteer experiences,475,8.6,4.5,4.0,6.0,8.0,11.0,14.0
Plastic Surgery: Integrated,Number of research experiences,176,6.3,4.1,2.0,3.8,5.0,8.0,11.0
Plastic Surgery: Integrated,"Number of abstracts, presentations, and publications",176,28.7,21.5,8.0,12.8,22.0,39.0,55.5
Plastic Surgery: Integrated,Number of work experiences,176,3.9,2.7,1.0,2.0,3.0,5.0,7.0
Plastic Surgery: Integrated,Number of volunteer experiences,176,8.9,4.5,4.0,6.0,8.0,11.3,15.0
Psychiatry,Number of research experiences,"2,081",2.9,2.1,0.0,1.0,3.0,4.0,6.0
Psychiatry,"Number of abstracts, presentations, and publications","2,081",5.9,7.8,0.0,1.0,4.0,8.0,14.0
Psychiatry,Number of work experiences,"2,081",4.1,3.3,1.0,2.0,3.0,5.0,8.0
Psychiatry,Number of volunteer experiences,"2,081",7.5,4.2,3.0,5.0,7.0,10.0,13.0
Surgery: General,Number of research experiences,"1,393",4.2,2.7,1.0,2.0,4.0,5.0,8.0
Surgery: General,"Number of abstracts, presentations, and publications","1,393",9.1,10.1,1.0,3.0,6.0,12.0,20.0
Surgery: General,Number of work experiences,"1,393",4.1,2.7,1.0,2.0,4.0,5.0,7.0
Surgery: General,Number of volunteer experiences,"1,393",8.7,4.6,4.0,5.0,8.0,11.0,14.0
Surgery: General (preliminary),Number of research experiences,"1,074",4.1,3.0,1.0,2.0,4.0,5.0,8.0
Surgery: General (preliminary),"Number of abstracts, presentations, and publications","1,074",11.7,14.6,1.0,3.0,7.0,15.0,26.0
Surgery: General (preliminary),Number of work experiences,"1,074",4.4,3.0,1.0,2.0,4.0,6.0,8.0
Surgery: General (preliminary),Number of volunteer experiences,"1,074",7.2,4.2,2.0,5.0,7.0,9.0,12.0
Thoracic Surgery: Integrated,Number of research experiences,43,5.4,2.4,3.0,4.0,5.0,7.0,8.0
Thoracic Surgery: Integrated,"Number of abstracts, presentations, and publications",43,16.2,11.2,4.2,9.0,14.0,23.0,27.6
Thoracic Surgery: Integrated,Number of work experiences,43,4.3,3.4,0.2,2.0,4.0,5.0,7.0
Thoracic Surgery: Integrated,Number of volunteer experiences,43,8.1,3.9,3.2,6.0,7.0,11.0,13.0
Transitional Year,Number of research experiences,"1,593",3.9,2.9,1.0,2.0,3.0,5.0,7.0
Transitional Year,"Number of abstracts, presentations, and publications","1,593",10.2,12.1,1.0,3.0,6.0,13.0,24.8
Transitional Year,Number of work experiences,"1,593",3.9,2.9,1.0,2.0,3.0,5.0,7.0
Transitional Year,Number of volunteer experiences,"1,593",7.8,4.5,3.0,5.0,7.0,10.0,13.0
Vascular Surgery: Integrated,Number of research experiences,85,5.2,2.9,2.0,3.0,5.0,7.0,8.0
Vascular Surgery: Integrated,"Number of abstracts, presentations, and publications",85,14.6,13.9,4.0,7.0,11.0,18.0,28.8
Vascular Surgery: Integrated,Number of work experiences,85,3.9,2.7,1.0,2.0,3.0,5.0,8.0
Vascular Surgery: Integrated,Number of volunteer experiences,85,7.2,3.8,3.0,5.0,7.0,9.0,11.0
