ACGME-Accredited Specialties,Description of Test or Experience,N,Average,Standard Deviation,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Pathology: Anatomic and Clinical,Number of work experiences,577,3.9,3.4,0.0,2.0,3.0,5.0,8.0
Pathology: Anatomic and Clinical,Number of volunteer experiences,577,4.4,4.1,0.0,2.0,4.0,6.0,9.0
Pediatrics1,MCAT Score,"2,490",29.9,4.4,24.0,27.0,30.0,33.0,35.0
Pediatrics1,STEP 1 Score,"2,418",227.2,17.0,203.0,215.0,227.0,240.0,250.0
Pediatrics1,STEP 2 CK Score,"2,596",240.7,15.5,220.0,229.0,241.0,252.0,261.0
Pediatrics1,Number of research experiences,"2,784",2.2,1.7,0.0,1.0,2.0,3.0,4.0
Pediatrics1,"Number of abstracts, presentations, and publications","2,784",3.5,4.8,0.0,0.0,2.0,5.0,9.0
Pediatrics1,Number of work experiences,"2,784",3.4,2.7,1.0,2.0,3.0,5.0,7.0
Pediatrics1,Number of volunteer experiences,"2,784",7.6,4.8,2.3,4.0,7.0,10.0,13.0
Physical Medicine and Rehabilitation,MCAT Score,364,28.7,4.3,23.0,26.0,29.0,31.0,34.0
Physical Medicine and Rehabilitation,STEP 1 Score,275,223.8,16.1,201.4,212.0,224.0,235.0,245.6
Physical Medicine and Rehabilitation,STEP 2 CK Score,277,235.5,14.6,218.0,223.0,235.0,247.0,254.4
Physical Medicine and Rehabilitation,Number of research experiences,398,2.2,1.8,0.0,1.0,2.0,3.0,5.0
Physical Medicine and Rehabilitation,"Number of abstracts, presentations, and publications",398,4.0,6.5,0.0,0.0,2.0,5.0,10.3
Physical Medicine and Rehabilitation,Number of work experiences,398,3.3,2.7,1.0,1.0,3.0,4.8,7.0
Physical Medicine and Rehabilitation,Number of volunteer experiences,398,6.7,4.2,2.0,4.0,6.0,9.0,12.0
Plastic Surgery: Integrated,MCAT Score,155,32.4,3.7,28.0,30.0,32.0,35.0,37.0
Plastic Surgery: Integrated,STEP 1 Score,159,246.1,14.2,225.0,238.0,249.0,257.0,263.0
Plastic Surgery: Integrated,STEP 2 CK Score,162,251.1,15.6,233.1,242.3,253.0,262.0,268.0
Plastic Surgery: Integrated,Number of research experiences,163,4.3,2.6,1.0,2.0,4.0,6.0,7.8
Plastic Surgery: Integrated,"Number of abstracts, presentations, and publications",163,14.6,14.5,2.2,5.0,10.0,19.0,29.6
Plastic Surgery: Integrated,Number of work experiences,163,3.1,2.5,1.0,1.0,3.0,4.0,6.0
Plastic Surgery: Integrated,Number of volunteer experiences,163,7.5,4.6,3.0,4.0,6.0,9.0,13.8
Psychiatry,MCAT Score,"1,354",29.7,4.9,24.0,27.0,30.0,33.0,36.0
Psychiatry,STEP 1 Score,"1,286",220.5,17.7,197.0,207.0,220.0,233.0,245.0
Psychiatry,STEP 2 CK Score,"1,365",232.5,16.0,213.0,221.0,232.0,244.0,255.0
Psychiatry,Number of research experiences,"1,567",2.1,1.8,0.0,1.0,2.0,3.0,4.0
Psychiatry,"Number of abstracts, presentations, and publications","1,567",3.6,5.6,0.0,0.0,2.0,5.0,9.0
Psychiatry,Number of work experiences,"1,567",3.6,3.2,1.0,2.0,3.0,5.0,8.0
Psychiatry,Number of volunteer experiences,"1,567",6.0,4.3,2.0,3.0,5.0,8.0,11.0
Surgery: General (preliminary),MCAT Score,994,30.5,4.6,25.0,28.0,31.0,33.8,36.0
Surgery: General (preliminary),STEP 1 Score,"1,060",232.0,18.1,205.0,219.0,234.0,246.0,254.0
Surgery: General (preliminary),STEP 2 CK Score,"1,173",239.3,16.0,217.0,228.0,240.0,251.0,260.0
Surgery: General (preliminary),Number of research experiences,"1,194",3.1,2.9,0.0,1.0,3.0,4.0,6.0
Surgery: General (preliminary),"Number of abstracts, presentations, and publications","1,194",7.9,12.5,0.0,2.0,5.0,9.0,17.0
Surgery: General (preliminary),Number of work experiences,"1,194",3.5,3.2,1.0,2.0,3.0,5.0,7.0
Surgery: General (preliminary),Number of volunteer experiences,"1,194",5.9,4.5,1.0,3.0,5.0,8.0,11.0
Surgery: General (categorical),MCAT Score,"1,154",30.8,4.1,25.0,28.0,31.0,34.0,36.0
Surgery: General (categorical),STEP 1 Score,"1,076",235.0,14.7,215.0,225.0,235.0,246.0,254.0
Surgery: General (categorical),STEP 2 CK Score,"1,173",246.5,13.3,228.0,238.0,247.0,256.0,263.0
Surgery: General (categorical),Number of research experiences,"1,216",2.8,2.0,1.0,1.0,3.0,4.0,5.0
Surgery: General (categorical),"Number of abstracts, presentations, and publications","1,216",5.3,8.1,0.0,1.0,4.0,7.0,11.5
Surgery: General (categorical),Number of work experiences,"1,216",3.3,2.6,1.0,1.0,3.0,4.0,6.0
Surgery: General (categorical),Number of volunteer experiences,"1,216",6.7,3.9,2.0,4.0,6.0,9.0,11.0
Thoracic Surgery: Integrated,MCAT Score,36,32.4,4.2,25.5,29.0,34.0,35.0,37.5
Thoracic Surgery: Integrated,STEP 1 Score,39,242.3,11.6,227.8,234.0,244.0,252.0,256.0
Thoracic Surgery: Integrated,STEP 2 CK Score,39,246.2,13.8,225.8,238.0,248.0,256.0,259.2
Thoracic Surgery: Integrated,Number of research experiences,40,3.5,2.3,0.0,2.0,3.0,5.0,7.0
Thoracic Surgery: Integrated,"Number of abstracts, presentations, and publications",40,10.1,8.5,1.0,4.0,10.0,14.0,19.1
Thoracic Surgery: Integrated,Number of work experiences,40,3.1,2.3,1.0,1.0,3.0,4.0,6.1
Thoracic Surgery: Integrated,Number of volunteer experiences,40,5.7,3.1,1.9,3.8,6.0,8.0,10.0
Transitional Year,MCAT Score,"1,005",30.8,4.7,25.0,28.0,31.0,34.0,36.0
Transitional Year,STEP 1 Score,927,238.8,17.2,214.0,228.0,242.0,251.0,258.0
Transitional Year,STEP 2 CK Score,"1,005",244.9,16.3,220.0,235.0,248.0,257.0,264.0
Transitional Year,Number of research experiences,"1,063",3.2,2.4,0.0,2.0,3.0,4.0,6.0
Transitional Year,"Number of abstracts, presentations, and publications","1,063",6.8,8.4,0.0,1.0,4.0,9.0,16.0
Transitional Year,Number of work experiences,"1,063",3.3,2.9,1.0,1.0,3.0,4.0,6.8
Transitional Year,Number of volunteer experiences,"1,063",6.8,4.5,2.0,4.0,6.0,9.0,12.0
Vascular Surgery: Integrated,MCAT Score,58,31.9,3.6,27.0,30.0,32.0,34.0,37.0
Vascular Surgery: Integrated,STEP 1 Score,62,235.2,13.4,222.1,226.0,236.0,244.8,252.0
Vascular Surgery: Integrated,STEP 2 CK Score,64,246.5,12.4,228.9,239.0,247.5,256.3,258.7
Vascular Surgery: Integrated,Number of research experiences,65,3.7,2.0,1.0,3.0,4.0,5.0,6.0
Vascular Surgery: Integrated,"Number of abstracts, presentations, and publications",65,10.8,12.9,2.0,4.0,7.0,11.0,22.6
Vascular Surgery: Integrated,Number of work experiences,65,3.3,2.3,1.0,2.0,3.0,4.0,6.6
Vascular Surgery: Integrated,Number of volunteer experiences,65,6.8,3.8,2.0,4.0,7.0,9.0,11.0
