ACGME-Accredited Specialties,Description of Experience,Number,Average,Standard Deviation,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Plastic Surgery: Integrated,"Number of abstracts, presentations, and publications",187,26.7,25.0,7.0,11.0,18.0,33.5,54.4
Plastic Surgery: Integrated,Number of work experiences,187,4.1,2.8,1.0,2.0,3.0,6.0,7.0
Plastic Surgery: Integrated,Number of volunteer experiences,187,9.0,4.7,4.0,6.0,8.0,11.0,15.0
Psychiatry,Number of research experiences,"1,986",2.8,2.2,0.0,1.0,2.0,4.0,6.0
Psychiatry,"Number of abstracts, presentations, and publications","1,986",5.9,9.2,0.0,1.0,4.0,8.0,13.0
Psychiatry,Number of work experiences,"1,986",4.0,3.1,1.0,2.0,3.0,5.0,8.0
Psychiatry,Number of volunteer experiences,"1,986",7.5,4.3,3.0,4.0,7.0,10.0,13.0
"Radiology, Interventional: Independent",Number of research experiences,140,2.5,2.5,0.0,0.8,2.0,4.0,6.0
"Radiology, Interventional: Independent","Number of abstracts, presentations, and publications",140,12.1,11.4,1.0,4.0,8.0,16.0,26.2
"Radiology, Interventional: Independent",Number of work experiences,140,3.6,3.4,0.0,2.0,3.0,5.0,7.0
"Radiology, Interventional: Independent",Number of volunteer experiences,140,5.5,4.5,0.0,2.0,5.0,8.0,11.0
Surgery: General,Number of research experiences,"1,422",4.1,2.6,1.0,2.0,4.0,5.0,7.0
Surgery: General,"Number of abstracts, presentations, and publications","1,422",9.0,11.6,1.0,3.0,6.0,11.0,19.0
Surgery: General,Number of work experiences,"1,422",4.0,2.6,1.0,2.0,4.0,5.0,7.0
Surgery: General,Number of volunteer experiences,"1,422",8.5,4.7,3.1,5.0,8.0,11.0,14.0
Surgery: General (preliminary),Number of research experiences,"1,047",3.8,3.7,1.0,2.0,3.0,5.0,7.0
Surgery: General (preliminary),"Number of abstracts, presentations, and publications","1,047",11.4,16.3,1.0,3.0,6.0,14.0,26.0
Surgery: General (preliminary),Number of work experiences,"1,047",4.3,3.0,1.0,2.0,4.0,6.0,8.0
Surgery: General (preliminary),Number of volunteer experiences,"1,047",7.2,4.9,2.0,4.0,6.0,10.0,13.0
Thoracic Surgery: Integrated,Number of research experiences,54,5.5,2.5,3.0,4.0,5.0,6.8,9.7
Thoracic Surgery: Integrated,"Number of abstracts, presentations, and publications",54,20.3,18.1,5.3,7.3,13.0,23.8,51.8
Thoracic Surgery: Integrated,Number of work experiences,54,4.0,2.8,1.0,2.0,3.5,5.8,7.7
Thoracic Surgery: Integrated,Number of volunteer experiences,54,8.5,4.2,4.0,5.3,8.0,11.0,13.7
Transitional Year,Number of research experiences,"1,524",3.8,3.3,1.0,2.0,3.0,5.0,7.0
Transitional Year,"Number of abstracts, presentations, and publications","1,524",9.0,11.0,0.0,2.0,6.0,12.0,21.0
Transitional Year,Number of work experiences,"1,524",3.9,3.0,1.0,2.0,3.0,5.0,7.0
Transitional Year,Number of volunteer experiences,"1,524",7.5,4.5,3.0,5.0,7.0,10.0,13.0
Vascular Surgery: Integrated,Number of research experiences,80,4.6,2.7,2.0,3.0,4.0,6.0,8.0
Vascular Surgery: Integrated,"Number of abstracts, presentations, and publications",80,14.2,13.9,3.9,6.0,10.0,17.0,27.1
Vascular Surgery: Integrated,Number of work experiences,80,4.5,3.2,1.0,2.0,4.0,6.0,8.1
Vascular Surgery: Integrated,Number of volunteer experiences,80,8.1,4.2,3.0,5.0,8.0,10.0,14.0
